State,Crop,Year,Rainfall,Temperature,Humidity,Soil_Type,Nitrogen,Phosphorus,Potassium,Area,Yield
Andhra Pradesh,Sugarcane,2024,709,33,79,Alluvial,69,32,54,1380,3.08
Andhra Pradesh,Pulses,2015,1621,20,83,Sandy,43,59,41,4720,4.28
Andhra Pradesh,Pulses,2016,1698,30,89,Clay,42,50,33,4476,4.76
Andhra Pradesh,Pulses,2017,1822,26,69,Red,71,51,24,2246,5.0
Andhra Pradesh,Pulses,2018,941,27,38,Alluvial,81,21,20,3783,4.19
Andhra Pradesh,Pulses,2019,986,22,91,Laterite,66,50,58,2289,3.77
Andhra Pradesh,Pulses,2020,1180,16,58,Alluvial,86,56,33,856,3.72
Andhra Pradesh,Pulses,2021,1443,20,43,Black,84,36,23,700,4.6
Andhra Pradesh,Pulses,2022,1686,26,44,Laterite,76,22,26,3111,5.08
Andhra Pradesh,Pulses,2023,1419,19,38,Red,51,34,56,2922,4.33
Andhra Pradesh,Pulses,2024,905,24,63,Sandy,59,48,54,832,3.08
Andhra Pradesh,Groundnut,2015,1110,33,65,Red,45,54,39,2219,4.04
Andhra Pradesh,Groundnut,2016,1732,27,36,Black,87,42,30,4730,5.06
Andhra Pradesh,Groundnut,2017,643,28,63,Red,98,51,55,4826,3.86
Andhra Pradesh,Groundnut,2018,1153,25,65,Clay,49,53,21,1391,3.36
Andhra Pradesh,Groundnut,2019,1769,23,91,Alluvial,67,24,36,4733,5.0
Andhra Pradesh,Groundnut,2020,729,25,42,Laterite,92,23,28,2659,3.83
Andhra Pradesh,Groundnut,2021,1425,22,37,Red,81,39,32,1269,4.52
Andhra Pradesh,Groundnut,2022,750,25,48,Laterite,99,26,59,3281,3.2
Andhra Pradesh,Groundnut,2023,1678,16,55,Red,90,39,21,1934,5.19
Andhra Pradesh,Groundnut,2024,880,16,89,Loamy,76,47,23,2169,3.75
Andhra Pradesh,Soybean,2015,1925,27,47,Black,63,25,25,2965,5.16
Andhra Pradesh,Soybean,2016,1070,32,94,Black,62,27,28,1909,4.25
Andhra Pradesh,Soybean,2017,757,22,38,Laterite,96,32,58,3950,3.84
Andhra Pradesh,Soybean,2018,594,17,81,Laterite,60,38,46,1255,3.48
Andhra Pradesh,Soybean,2019,697,20,32,Black,94,34,45,3769,3.03
Andhra Pradesh,Soybean,2020,365,24,80,Red,77,52,31,4736,2.58
Andhra Pradesh,Soybean,2021,965,24,83,Alluvial,86,21,24,570,3.79
Andhra Pradesh,Soybean,2022,966,18,91,Loamy,75,46,29,3905,3.6
Andhra Pradesh,Soybean,2023,1066,27,63,Laterite,45,22,32,2318,3.22
Andhra Pradesh,Soybean,2024,663,15,32,Clay,71,43,22,4047,2.91
Andhra Pradesh,Tea,2015,421,28,95,Alluvial,62,34,31,2787,2.39
Andhra Pradesh,Tea,2016,866,29,93,Sandy,47,50,51,2936,3.5
Andhra Pradesh,Tea,2017,1482,26,66,Red,50,23,60,4581,4.83
Andhra Pradesh,Tea,2018,359,31,76,Laterite,94,32,51,1723,2.42
Andhra Pradesh,Tea,2019,1659,17,72,Sandy,56,37,26,4116,4.76
Andhra Pradesh,Tea,2020,1686,22,46,Black,91,54,30,1269,5.31
Andhra Pradesh,Tea,2021,1463,32,70,Loamy,47,28,50,4766,4.61
Andhra Pradesh,Tea,2022,1671,19,47,Laterite,67,22,52,3273,4.55
Andhra Pradesh,Tea,2023,1067,23,47,Black,84,55,34,887,3.48
Andhra Pradesh,Tea,2024,808,16,59,Loamy,66,49,43,2826,3.62
Andhra Pradesh,Coffee,2015,1868,22,80,Red,58,55,46,1014,5.43
Andhra Pradesh,Coffee,2016,1324,22,93,Sandy,87,28,26,3238,4.4
Andhra Pradesh,Coffee,2017,956,16,82,Alluvial,81,32,35,1927,3.43
Andhra Pradesh,Coffee,2018,1896,23,64,Laterite,64,39,22,1851,5.15
Andhra Pradesh,Coffee,2019,1980,25,69,Clay,65,33,20,2045,5.49
Andhra Pradesh,Coffee,2020,1288,19,37,Loamy,99,34,56,2562,4.25
Andhra Pradesh,Coffee,2021,762,16,45,Loamy,86,46,28,3651,3.14
Andhra Pradesh,Coffee,2022,1624,30,92,Loamy,63,45,53,3637,4.47
Andhra Pradesh,Coffee,2023,1281,22,88,Laterite,55,29,59,1530,4.03
Andhra Pradesh,Coffee,2024,1700,17,49,Red,81,22,34,3095,4.78
Arunachal Pradesh,Rice,2015,1163,35,66,Laterite,84,28,51,1062,4.48
Arunachal Pradesh,Rice,2016,1892,21,53,Black,61,55,60,3628,5.27
Arunachal Pradesh,Rice,2017,965,29,67,Clay,98,48,47,1344,3.77
Arunachal Pradesh,Rice,2018,1095,18,63,Laterite,77,57,53,2690,3.78
Arunachal Pradesh,Rice,2019,1100,33,62,Red,67,56,47,2627,4.35
Arunachal Pradesh,Rice,2020,1279,18,47,Laterite,81,39,21,4670,4.12
Arunachal Pradesh,Rice,2021,525,28,78,Alluvial,74,27,48,2709,3.12
Arunachal Pradesh,Rice,2022,1117,15,30,Alluvial,67,49,24,3956,3.67
Arunachal Pradesh,Rice,2023,959,21,55,Red,69,28,33,4618,3.57
Arunachal Pradesh,Rice,2024,1644,19,48,Laterite,65,57,29,4294,4.53
Arunachal Pradesh,Wheat,2015,387,15,42,Red,95,48,54,4860,3.35
Arunachal Pradesh,Wheat,2016,674,26,39,Sandy,53,48,35,1713,2.78
Arunachal Pradesh,Wheat,2017,1113,25,89,Red,72,30,49,2473,4.4
Arunachal Pradesh,Wheat,2018,1940,29,70,Clay,96,34,49,1370,5.55
Arunachal Pradesh,Wheat,2019,698,28,73,Sandy,91,44,50,2277,3.14
Arunachal Pradesh,Wheat,2020,748,20,93,Alluvial,91,53,29,4697,3.9
Arunachal Pradesh,Wheat,2021,1225,18,63,Loamy,73,21,52,2348,4.38
Arunachal Pradesh,Wheat,2022,1660,24,82,Alluvial,94,25,57,725,5.24
Arunachal Pradesh,Wheat,2023,818,28,73,Alluvial,95,59,60,3376,4.11
Arunachal Pradesh,Wheat,2024,561,23,50,Sandy,45,33,22,3707,2.86
Arunachal Pradesh,Maize,2015,797,20,45,Clay,97,34,60,3140,3.87
Arunachal Pradesh,Maize,2016,1538,33,47,Red,45,49,25,1536,4.71
Arunachal Pradesh,Maize,2017,1528,27,33,Alluvial,84,37,38,932,4.42
Arunachal Pradesh,Maize,2018,1975,29,61,Loamy,66,46,47,1775,5.15
Arunachal Pradesh,Maize,2019,656,25,58,Clay,57,59,31,1878,3.41
Arunachal Pradesh,Maize,2020,418,17,90,Black,63,54,37,1096,2.97
Arunachal Pradesh,Maize,2021,1315,25,33,Red,97,56,36,3563,4.22
Arunachal Pradesh,Maize,2022,1469,19,93,Clay,90,25,35,4044,4.66
Arunachal Pradesh,Maize,2023,1870,33,61,Laterite,90,35,30,4358,5.04
Arunachal Pradesh,Maize,2024,1161,22,59,Alluvial,79,41,45,2211,3.84
Arunachal Pradesh,Barley,2015,538,24,62,Black,55,41,48,3753,3.16
Arunachal Pradesh,Barley,2016,1382,21,94,Clay,85,42,35,1417,4.63
Arunachal Pradesh,Barley,2017,1670,27,79,Sandy,85,25,34,1688,4.57
Arunachal Pradesh,Barley,2018,1325,26,53,Alluvial,96,46,22,4573,4.58
Arunachal Pradesh,Barley,2019,836,23,42,Clay,97,53,58,2628,3.96
Arunachal Pradesh,Barley,2020,796,19,61,Clay,40,35,25,3559,2.66
Arunachal Pradesh,Barley,2021,1138,25,48,Sandy,53,57,39,1824,4.31
Arunachal Pradesh,Barley,2022,611,25,67,Sandy,68,47,41,4610,3.54
Arunachal Pradesh,Barley,2023,1834,15,60,Black,53,30,35,1914,4.9
Arunachal Pradesh,Barley,2024,653,26,62,Laterite,80,23,37,3596,3.25
Arunachal Pradesh,Millets,2015,1018,28,76,Loamy,56,42,55,1729,3.28
Arunachal Pradesh,Millets,2016,1262,31,64,Sandy,56,29,45,1354,4.45
Arunachal Pradesh,Millets,2017,1646,33,95,Loamy,81,54,41,1380,4.87
Arunachal Pradesh,Millets,2018,1277,21,86,Red,81,24,44,746,4.13
Arunachal Pradesh,Millets,2019,1795,18,46,Loamy,52,51,52,4595,4.89
Arunachal Pradesh,Millets,2020,1307,28,90,Loamy,65,41,49,4295,3.98
Arunachal Pradesh,Millets,2021,1927,34,91,Loamy,74,41,53,4849,5.12
Arunachal Pradesh,Millets,2022,610,22,52,Red,71,38,33,1432,3.45
Arunachal Pradesh,Millets,2023,975,21,82,Red,96,41,20,1710,3.58
Arunachal Pradesh,Millets,2024,320,22,41,Loamy,46,49,57,3567,2.8
Arunachal Pradesh,Cotton,2015,1474,21,94,Clay,45,49,55,2204,4.77
Arunachal Pradesh,Cotton,2016,1584,18,91,Sandy,82,34,31,2132,4.92
Arunachal Pradesh,Cotton,2017,401,17,45,Alluvial,98,38,23,2541,2.85
Arunachal Pradesh,Cotton,2018,1297,34,45,Laterite,68,50,25,1771,4.66
Arunachal Pradesh,Cotton,2019,1946,27,50,Red,62,24,33,674,4.88
Arunachal Pradesh,Cotton,2020,1141,21,37,Red,83,54,45,1851,3.87
Arunachal Pradesh,Cotton,2021,1100,18,46,Black,42,26,26,3367,3.44
Arunachal Pradesh,Cotton,2022,1249,17,64,Alluvial,81,38,53,1247,4.71
Arunachal Pradesh,Cotton,2023,1941,29,86,Clay,86,52,50,506,5.89
Arunachal Pradesh,Cotton,2024,1506,33,39,Black,56,47,36,1287,4.08
Arunachal Pradesh,Sugarcane,2015,962,18,70,Clay,61,41,60,1148,3.23
Arunachal Pradesh,Sugarcane,2016,589,22,58,Clay,60,50,53,2520,3.3
Arunachal Pradesh,Sugarcane,2017,1753,33,79,Loamy,52,24,31,1539,5.08
Arunachal Pradesh,Sugarcane,2018,1454,20,82,Clay,69,25,57,3576,4.18
Arunachal Pradesh,Sugarcane,2019,1776,21,85,Sandy,42,44,42,977,4.34
Arunachal Pradesh,Sugarcane,2020,1155,30,50,Red,57,30,34,3565,4.32
Arunachal Pradesh,Sugarcane,2021,718,19,41,Loamy,82,21,37,1330,3.48
Arunachal Pradesh,Sugarcane,2022,1342,35,84,Sandy,75,36,58,4262,4.34
Arunachal Pradesh,Sugarcane,2023,445,20,45,Black,51,29,45,4526,2.27
Arunachal Pradesh,Sugarcane,2024,976,20,35,Black,71,41,58,2836,4.04
Arunachal Pradesh,Pulses,2015,675,28,82,Red,89,51,39,3346,3.73
Arunachal Pradesh,Pulses,2016,893,35,93,Laterite,71,34,57,3837,3.85
Arunachal Pradesh,Pulses,2017,1665,16,50,Sandy,78,45,55,748,4.95
Arunachal Pradesh,Pulses,2018,787,17,83,Red,70,57,24,2310,3.42
Arunachal Pradesh,Pulses,2019,1204,26,67,Clay,41,26,29,4266,3.7
Arunachal Pradesh,Pulses,2020,1839,21,67,Laterite,78,60,60,4562,5.15
Arunachal Pradesh,Pulses,2021,1592,20,90,Loamy,92,37,25,4341,5.32
Arunachal Pradesh,Pulses,2022,1864,17,92,Sandy,48,38,21,1804,5.31
Arunachal Pradesh,Pulses,2023,1514,27,67,Sandy,45,25,31,1082,4.56
Arunachal Pradesh,Pulses,2024,629,33,62,Red,70,27,22,1424,2.99
Arunachal Pradesh,Groundnut,2015,1119,16,45,Black,77,36,33,1720,4.36
Arunachal Pradesh,Groundnut,2016,1372,34,48,Red,49,26,27,4538,3.79
Arunachal Pradesh,Groundnut,2017,1148,24,58,Clay,71,54,34,637,4.46
Arunachal Pradesh,Groundnut,2018,898,24,58,Sandy,89,30,42,1534,3.9
Arunachal Pradesh,Groundnut,2019,777,35,33,Clay,59,33,29,1408,3.72
Arunachal Pradesh,Groundnut,2020,932,26,69,Clay,74,39,46,2221,3.7
Arunachal Pradesh,Groundnut,2021,1805,30,56,Black,63,55,24,780,5.14
Arunachal Pradesh,Groundnut,2022,311,18,79,Laterite,99,47,52,4116,3.0
Arunachal Pradesh,Groundnut,2023,934,24,46,Sandy,42,22,39,3217,3.88
Arunachal Pradesh,Groundnut,2024,1429,15,30,Clay,72,56,58,2424,4.39
Arunachal Pradesh,Soybean,2015,560,31,81,Alluvial,54,52,49,1915,2.4
Arunachal Pradesh,Soybean,2016,1861,28,66,Clay,61,28,29,2742,5.56
Arunachal Pradesh,Soybean,2017,1839,30,52,Alluvial,80,58,26,4739,5.01
Arunachal Pradesh,Soybean,2018,760,21,93,Black,56,27,55,1907,3.61
Arunachal Pradesh,Soybean,2019,993,22,73,Clay,62,54,58,834,4.04
Arunachal Pradesh,Soybean,2020,644,31,72,Laterite,67,58,36,4934,2.73
Arunachal Pradesh,Soybean,2021,391,20,60,Alluvial,59,44,47,4638,2.42
Arunachal Pradesh,Soybean,2022,1573,31,36,Red,72,28,54,2935,4.58
Arunachal Pradesh,Soybean,2023,1287,29,65,Alluvial,66,40,44,1295,4.52
Arunachal Pradesh,Soybean,2024,851,16,74,Alluvial,44,34,30,1493,3.49
Arunachal Pradesh,Tea,2015,1121,21,80,Laterite,87,57,21,2818,3.92
Arunachal Pradesh,Tea,2016,1550,22,68,Clay,96,39,53,634,4.87
Arunachal Pradesh,Tea,2017,1358,19,58,Loamy,58,31,24,1950,3.83
Arunachal Pradesh,Tea,2018,1312,32,86,Sandy,96,47,37,3174,4.09
Arunachal Pradesh,Tea,2019,1388,19,91,Loamy,67,37,32,4187,4.3
Arunachal Pradesh,Tea,2020,788,18,38,Black,85,54,37,3217,3.81
Arunachal Pradesh,Tea,2021,1979,27,69,Black,45,49,58,2617,5.05
Arunachal Pradesh,Tea,2022,1512,17,87,Clay,42,40,51,1255,4.27
Arunachal Pradesh,Tea,2023,1408,19,54,Laterite,43,24,37,2274,4.2
Arunachal Pradesh,Tea,2024,458,15,81,Laterite,46,27,20,1316,2.67
Arunachal Pradesh,Coffee,2015,577,24,51,Laterite,45,58,48,2352,2.71
Arunachal Pradesh,Coffee,2016,504,19,93,Black,46,44,29,3078,2.57
Arunachal Pradesh,Coffee,2017,951,30,44,Sandy,76,31,56,2857,3.73
Arunachal Pradesh,Coffee,2018,524,35,49,Red,88,33,45,3464,2.9
Arunachal Pradesh,Coffee,2019,1938,33,73,Red,77,20,35,1235,5.37
Arunachal Pradesh,Coffee,2020,1179,30,89,Red,66,32,35,3139,4.0
Arunachal Pradesh,Coffee,2021,1287,34,37,Clay,66,52,30,1897,3.72
Arunachal Pradesh,Coffee,2022,1705,25,34,Clay,47,52,45,3943,4.64
Arunachal Pradesh,Coffee,2023,1795,28,49,Alluvial,100,37,40,1087,5.5
Arunachal Pradesh,Coffee,2024,1247,30,56,Clay,95,51,23,1866,4.02
Assam,Rice,2015,953,28,54,Laterite,80,25,54,1746,3.86
Assam,Rice,2016,1390,31,66,Sandy,92,48,46,1915,4.55
Assam,Rice,2017,1781,27,79,Clay,100,50,53,4845,5.5
Assam,Rice,2018,1003,23,81,Red,84,28,21,3648,4.07
Assam,Rice,2019,1699,30,52,Black,62,31,22,2531,4.71
Assam,Rice,2020,1467,29,91,Clay,88,37,29,3125,4.54
Assam,Rice,2021,817,28,35,Sandy,48,40,37,4813,3.06
Assam,Rice,2022,717,26,31,Loamy,63,29,41,4214,3.05
Assam,Rice,2023,954,35,54,Red,85,39,39,3078,3.83
Assam,Rice,2024,318,18,67,Laterite,55,31,46,4455,2.36
Assam,Wheat,2015,1206,32,79,Red,84,33,24,4264,3.93
Assam,Wheat,2016,508,29,54,Alluvial,81,36,28,4395,3.25
Assam,Wheat,2017,1043,21,57,Sandy,70,43,58,2821,3.62
Assam,Wheat,2018,378,34,33,Black,97,50,45,1336,3.13
Assam,Wheat,2019,1027,30,31,Red,64,54,55,4234,3.87
Assam,Wheat,2020,878,17,94,Clay,93,57,23,2540,4.14
Assam,Wheat,2021,949,30,46,Red,81,34,56,935,3.51
Assam,Wheat,2022,310,25,73,Black,55,47,28,1642,2.07
Assam,Wheat,2023,926,30,78,Alluvial,68,55,31,2919,3.45
Assam,Wheat,2024,466,31,52,Clay,44,32,59,3269,2.97
Assam,Maize,2015,1364,15,71,Alluvial,59,42,24,1943,4.0
Assam,Maize,2016,676,32,84,Alluvial,47,27,42,938,3.14
Assam,Maize,2017,524,17,37,Sandy,54,24,53,2314,2.42
Assam,Maize,2018,1343,31,36,Black,47,21,28,4457,4.28
Assam,Maize,2019,574,27,48,Black,70,50,46,1241,2.64
Assam,Maize,2020,1637,19,80,Alluvial,88,45,52,2159,5.29
Assam,Maize,2021,706,33,38,Red,53,51,25,1599,3.0
Assam,Maize,2022,417,17,34,Alluvial,70,52,38,826,2.35
Assam,Maize,2023,1779,22,85,Laterite,80,59,25,2474,5.06
Assam,Maize,2024,441,30,31,Red,59,21,22,686,3.15
Assam,Barley,2015,741,23,63,Alluvial,63,48,33,3750,2.85
Assam,Barley,2016,1891,20,70,Sandy,52,31,26,1864,4.61
Assam,Barley,2017,1295,34,47,Sandy,55,55,49,1110,3.99
Assam,Barley,2018,1608,32,63,Loamy,96,33,21,3628,5.31
Assam,Barley,2019,1823,24,74,Laterite,65,60,55,2314,5.32
Assam,Barley,2020,1457,23,33,Sandy,85,36,38,1338,5.04
Assam,Barley,2021,770,17,71,Clay,58,36,42,2575,2.77
Assam,Barley,2022,1456,34,71,Loamy,87,53,55,2964,4.84
Assam,Barley,2023,948,19,84,Clay,86,56,23,1117,3.78
Assam,Barley,2024,1640,23,33,Alluvial,82,58,52,2085,5.02
Assam,Millets,2015,584,26,62,Black,90,58,40,2967,3.3
Assam,Millets,2016,1561,16,39,Alluvial,50,26,40,3761,4.76
Assam,Millets,2017,1898,34,37,Laterite,62,25,24,2255,5.02
Assam,Millets,2018,1872,23,62,Loamy,98,23,43,2218,4.96
Assam,Millets,2019,1114,29,95,Laterite,93,59,57,2091,4.22
Assam,Millets,2020,301,26,39,Loamy,73,60,26,2386,2.83
Assam,Millets,2021,399,16,69,Red,69,39,53,1925,3.04
Assam,Millets,2022,1368,24,36,Red,53,34,43,4217,3.99
Assam,Millets,2023,641,26,89,Sandy,68,44,46,4667,2.67
Assam,Millets,2024,638,28,78,Red,54,32,48,3102,3.18
Assam,Cotton,2015,1355,28,69,Alluvial,52,52,35,999,4.25
Assam,Cotton,2016,1848,28,40,Clay,71,45,28,1170,5.39
Assam,Cotton,2017,1430,29,68,Red,60,27,50,4638,4.04
Assam,Cotton,2018,1877,27,90,Loamy,47,45,28,800,4.53
Assam,Cotton,2019,972,32,80,Laterite,97,39,39,1975,3.78
Assam,Cotton,2020,1849,17,65,Black,48,38,43,2298,5.3
Assam,Cotton,2021,1324,31,66,Laterite,97,49,29,3476,4.55
Assam,Cotton,2022,401,34,78,Clay,49,43,26,3549,2.29
Assam,Cotton,2023,1137,16,78,Loamy,59,28,31,1518,4.12
Assam,Cotton,2024,384,27,64,Black,44,27,52,3940,2.37
Assam,Sugarcane,2015,1702,31,89,Red,79,50,53,2753,5.14
Assam,Sugarcane,2016,1098,26,90,Alluvial,47,21,49,2888,3.51
Assam,Sugarcane,2017,1999,22,72,Black,96,31,54,3105,5.98
Assam,Sugarcane,2018,956,18,82,Laterite,92,60,50,2225,4.22
Assam,Sugarcane,2019,1984,35,59,Alluvial,54,31,48,1608,5.73
Assam,Sugarcane,2020,1624,32,43,Red,82,40,51,4675,5.05
Assam,Sugarcane,2021,600,27,90,Alluvial,94,58,57,2768,3.13
Assam,Sugarcane,2022,505,32,33,Red,93,59,36,1935,2.83
Assam,Sugarcane,2023,1258,23,84,Red,46,49,29,688,4.17
Assam,Sugarcane,2024,1153,16,37,Black,72,21,50,3706,3.83
Assam,Pulses,2015,1313,15,37,Laterite,99,42,48,915,4.57
Assam,Pulses,2016,1399,16,66,Laterite,60,25,27,1729,4.14
Assam,Pulses,2017,1778,26,44,Clay,86,52,34,4530,5.08
Assam,Pulses,2018,723,35,91,Laterite,71,35,59,1459,2.94
Assam,Pulses,2019,1910,16,71,Alluvial,48,39,44,770,4.7
Assam,Pulses,2020,325,26,77,Clay,63,38,39,4150,2.59
Assam,Pulses,2021,1924,27,30,Loamy,85,25,40,2001,5.15
Assam,Pulses,2022,1917,32,50,Clay,98,22,37,3785,5.36
Assam,Pulses,2023,867,23,37,Laterite,57,39,57,1775,3.78
Assam,Pulses,2024,1333,28,31,Loamy,93,52,31,2351,4.89
Assam,Groundnut,2015,373,19,79,Sandy,83,27,35,770,3.12
Assam,Groundnut,2016,1104,27,81,Clay,74,24,34,2684,4.24
Assam,Groundnut,2017,944,17,72,Loamy,62,42,45,2864,3.66
Assam,Groundnut,2018,755,33,53,Red,40,26,29,1736,3.02
Assam,Groundnut,2019,778,25,53,Alluvial,84,42,44,542,3.64
Assam,Groundnut,2020,890,17,68,Sandy,82,26,40,4030,3.61
Assam,Groundnut,2021,1385,15,41,Alluvial,50,21,47,862,4.18
Assam,Groundnut,2022,1916,21,87,Laterite,98,33,21,845,5.7
Assam,Groundnut,2023,1218,24,72,Sandy,76,27,30,4788,3.72
Assam,Groundnut,2024,1716,16,75,Red,56,47,55,2801,5.07
Assam,Soybean,2015,1357,35,94,Alluvial,97,22,56,1299,4.29
Assam,Soybean,2016,653,26,64,Sandy,57,58,35,2527,3.35
Assam,Soybean,2017,1079,17,31,Red,87,51,33,3606,3.82
Assam,Soybean,2018,1734,33,89,Clay,54,42,29,2421,5.21
Assam,Soybean,2019,797,21,30,Alluvial,78,35,35,4404,3.08
Assam,Soybean,2020,493,19,57,Sandy,78,51,27,4003,2.97
Assam,Soybean,2021,1310,35,38,Laterite,98,21,53,3586,4.14
Assam,Soybean,2022,1489,31,74,Alluvial,61,53,47,1854,4.42
Assam,Soybean,2023,1008,29,34,Red,71,40,27,1927,4.24
Assam,Soybean,2024,947,15,64,Laterite,69,56,34,2603,3.66
Assam,Tea,2015,1406,20,59,Alluvial,87,54,33,2041,4.62
Assam,Tea,2016,1789,15,64,Clay,64,59,59,2472,5.14
Assam,Tea,2017,1884,18,41,Red,66,47,60,4502,5.03
Assam,Tea,2018,1931,22,68,Laterite,75,52,56,953,5.25
Assam,Tea,2019,484,17,89,Clay,89,56,24,4927,3.16
